raw_country,display_country
USA,United States
United States,United States
U.S.A.,United States
Australia,Australia
Bahamas,Bahamas
Belgium,Belgium
Bosnia and Herzegovina,Bosnia and Herzegovina
Brazil,Brazil
Canada,Canada
China,China
Croatia,Croatia
Czech Republic,Czechia
France,France
Germany,Germany
Hungary,Hungary
Jamaica,Jamaica
Japan,Japan
Latvia,Latvia
Mali,Mali
Montenegro,Montenegro
Mozambique,Mozambique
Nigeria,Nigeria
Poland,Poland
Puerto Rico,Puerto Rico
Russia,Russian Federation
Senegal,Senegal
Serbia,Serbia
Slovenia,Slovenia
Spain,Spain
Sweden,Sweden
Turkey,Turkiye
Ukraine,Ukraine
United Kingdom,United Kingdom
